
"KKA-6092","總達","HINO","RK8JRSA", , ,"馨盛",200808,20160607, ,"中區","北客486-FN", , , , ,,
"KKA-6093","總達","HINO","RK8JRSA", , ,"馨盛",200808,20160607, ,"中區","北客487-FN", , , , ,,
"KKA-6095","總達","HINO","RK8JRSA", , ,"馨盛",200808,20160613, ,"中區","北客483-FN", , , , ,,
"KKA-6096","仁友","FUSO","RM117NL","RM117NL2", ,"國際山霖",200612,20160627, ,"中區","大有670-FL", , , , ,,
"KKA-6097","仁友","FUSO","RM117NL","RM117NL2", ,"國際山霖",200612,20160628, ,"中區","大有669-FL", , , , ,,
"KKA-6098","全航","HINO","RK8JRSA", , ,"馨盛",200805,20160712, ,"中區","北客159-FN", , , , ,,
"KKA-6099","全航","HINO","RK8JRSA","RK-14.5C-SHEN-07", ,"馨盛",200805,20160712, ,"中區","北客155-FN", , , , ,,
"KKA-6100","全航","HINO","RK8JRSA", , ,"馨盛",200805,20160712, ,"中區","北客166-FN", , , , ,,
"KKA-6101","全航","HINO","RK8JRSA", , ,"馨盛",200804,20160712, ,"中區","北客763-FM", , , , ,,
"KKA-6102","中鹿","MITSUBISHI","Rosa"," ", ,"原裝",201603,20160718, ,"中區", , , , , ,,
"KKA-6103","中鹿","MITSUBISHI","Rosa"," ", ,"原裝",201603,20160718, ,"中區", , , , , ,,
"KKA-6105","總達","HINO","RK8JRSA ", , ,"國際山霖",200801,20160725, ,"中區","欣欣209-FN", , , , ,,
"KKA-6106","總達","HINO","RK8JRSA ", , ,"國際山霖",200801,20160725, ,"中區","欣欣210-FN", , , , ,,
"KKA-6107","仁友","MITSUBISHI","Rosa","BE649G", ,"原裝",200611,20160727, ,"中區","中鹿310-FM", , , , ,,
"KKA-6108","仁友","MITSUBISHI","Rosa"," ", ,"原裝",200611,20160803, ,"中區","中鹿", , , , ,,
"KKA-6109","全航","HINO","RK8JRSA", , ,"馨盛",200804,20160805, ,"中區","北客759-FM", , , , ,,
"KKA-6110","全航","HINO","RK8JRSA", , ,"固亞",200806,20160805, ,"中區","北客111-FN", , , , ,,
"KKA-6111","全航","HINO","RK8JRSA", , ,"固亞",200806,20160805, ,"中區","北客113-FN", , , , ,,
"KKA-6112","全航","HINO","RK8JRSA", , ,"馨盛",200805,20160805, ,"中區","北客153-FN", , , , ,,
"KKA-6113","全航","HINO","RK8JRSA", , ,"馨盛",200805,20160805, ,"中區","北客156-FN", , , , ,,
"KKA-6115","全航","HINO","RK8JRSA", , ,"馨盛",200805,20160805, ,"中區","北客157-FN", , , , ,,
"522-FE","北客","HINO","ERK2JML","RK-14C-SHEN-A2","J08C-TP","馨盛",200504, , ,"北區", ,"換牌660-FW", , , ,,
"523-FE","北客","HINO","ERK2JML","RK-14C-SHEN-A2","J08C-TP","馨盛",200504, , ,"北區", ,"換牌659-FW->中客015-U8", , , ,,
"525-FE","北客","HINO","ERK2JML","ERK2JML","J08C-TP","馨盛",200504, , ,"北區", ,"換牌658-FW->中客021-U8", , , ,,
"526-FE","北客","HINO","ERK2JML","ERK2JML","J08C-TP","馨盛",200504, , ,"北區", ,"新營835-FS", , , ,,
"527-FE","北客","HINO","ERK2JML","RK-14C-SHEN-A2","J08C-TP","馨盛",200504, , ,"北區", ,"中客012-U8", , , ,,
"528-FE","北客","HINO","ERK2JML","ERK2JML","J08C-TP","馨盛",200506, , ,"北區", ,"中客065-U8", , , ,,
"529-FE","北客","HINO","ERK2JML","ERK2JML","J08C-TP","馨盛",200506, , ,"北區", ,"中客066-U8", , , ,,
"530-FE","北客","HINO","ERK2JML","ERK2JML","J08C-TP","馨盛",200506, , ,"北區", ,"中客067-U8", , , ,,
"531-FE","北客","HINO","ERK2JML","ERK2JML","J08C-TP","馨盛",200506, , ,"北區", ,"中客019-U8", , , ,,
"532-FE","北客","HINO","ERK2JML","ERK2JML","J08C-TP","馨盛",200506, , ,"北區", ,"中客020-U8", , , ,,
"533-FE","北客","HINO","ERK2JML","ERK2JML","J08C-TP","馨盛",200506, , ,"北區", ,"全航673-U8", , , ,,
"535-FE","北客","HINO","ERK2JML","ERK2JML","J08C-TP","馨盛",200506, , ,"北區", ,"全航672-U8", , , ,,
"536-FE","北客","HINO","ERK2JML","ERK2JML","J08C-TP","馨盛",200506, , ,"北區", ,"換牌312-FW->中客018-U8", , , ,,
"537-FE","北客","HINO","ERK2JML","ERK2JML","J08C-TP","馨盛",200506, , ,"北區", ,"全航936-U8", , , ,,
"538-FE","北客","HINO","ERK2JML","ERK2JML","J08C-TP","馨盛",200506, , ,"北區", ,"中客013-U8", , , ,,
"339-FG","北客","HINO","ERK2JML","RK-14C-SHEN-A2","J08C-TP","馨盛",200601, , ,"北區", ,"全航220-U8", , , ,,
"340-FG","北客","HINO","ERK2JML","RK-14C-SHEN-A2","J08C-TP","馨盛",200601, , ,"北區", ,"換牌657-FW->仁友250-U8", , , ,,
"341-FG","北客","HINO","ERK2JML","RK-14C-SHEN-A2","J08C-TP","馨盛",200601, , ,"北區", ,"換牌656-FW->仁友251-U8", , , ,,
"342-FG","北客","HINO","ERK2JML","RK-14C-SHEN-A2","J08C-TP","馨盛",200601, , ,"北區", ,"全航221-U8", , , ,,
"343-FG","北客","HINO","ERK2JML","RK-14C-SHEN-A2","J08C-TP","馨盛",200601, , ,"北區", ,"全航222-U8", , , ,,
"345-FG","北客","HINO","ERK2JML","RK-14C-SHEN-A2","J08C-TP","馨盛",200601, , ,"北區", ,"仁友252-U8", , , ,,
"346-FG","北客","HINO","ERK2JML","RK-14C-SHEN-A2","J08C-TP","馨盛",200601, , ,"北區", ,"全航223-U8", , , ,,
"347-FG","北客","HINO","ERK2JML","RK-14C-SHEN-A2","J08C-TP","馨盛",200601, , ,"北區", ,"換牌311-FW->仁友253-U8", , , ,,
"348-FG","北客","HINO","ERK2JML","RK-14C-SHEN-A2","J08C-TP","馨盛",200601, , ,"北區", ,"全航225-U8", , , ,,
"349-FG","北客","HINO","ERK2JRL","RK-14C-SHEN-A7","J08C-TP","馨盛", , , ,"北區", ,"換牌310-FW->中客010-U8", , , ,,
"350-FG","北客","HINO","ERK2JRL","RK-14C-SHEN-A7","J08C-TP","馨盛",200602,20060526,20131024,"北區", , , , , ,,
"351-FG","北客","HINO","ERK2JRL","RK-14C-SHEN-A7","J08C-TP","馨盛",200602,20060526, ,"北區", ,"佳輪遊覽707-PP", , , ,,
"352-FG","北客","HINO","ERK2JRL","RK-14C-SHEN-A7","J08C-TP","馨盛",200602,20060526, ,"北區", ,"佳輪遊覽706-PP", , , ,,
"353-FG","北客","HINO","ERK2JRL","RK-14C-SHEN-A7","J08C-TP","馨盛",200602,20060526, ,"北區", ,"仁友258-U8", , , ,,
"355-FG","北客","HINO","ERK2JRL","RK-14C-SHEN-A7","J08C-TP","馨盛",200602,20060526,20151110,"北區", , , , , ,,
"356-FG","北客","HINO","ERK2JRL","RK-14C-SHEN-A7","J08C-TP","馨盛",200602, , ,"北區", ,"仁友259-U8", , , ,,
"357-FG","北客","HINO","ERK2JRL","RK-14C-SHEN-A7","J08C-TP","馨盛",200602, , ,"北區", ,"仁友260-U8", , , ,,
"358-FG","北客","HINO","ERK2JRL","RK-14C-SHEN-A7","J08C-TP","馨盛", , , ,"北區", ,"宏仁女中328-WG", , , ,,
"359-FG","北客","HINO","ERK2JRL","RK-14C-SHEN-A7","J08C-TP","馨盛", , , ,"北區", ,"宏仁女中329-WG", , , ,,
"360-FG","北客","HINO","ERK2JRL","RK-14C-SHEN-A7","J08C-TP","馨盛",200602, , ,"北區", ,"科技之星220-U7", , , ,,
"361-FG","首都","HINO","ERK2JRL", , ,"固特", , , ,"北區", ,"興南447-U9", , , ,,
"362-FG","首都","HINO","ERK2JRL", , ,"固特",200603, , ,"北區", ,"嘉義110-U9", , , ,,
"363-FG","首都","HINO","ERK2JRL","DERK2JRL1B-2", ,"固特",200603, , ,"北區", ,"興南448-U9", , , ,,
"365-FG","首都","HINO","ERK2JRL","DERK2JRL1B-2", ,"固特",200603, , ,"北區", ,"嘉義111-U9", , , ,,
"366-FG","首都","HINO","ERK2JRL","DERK2JRL1B-1", ,"固特",200603, , ,"北區", ,"嘉義112-U9", , , ,,
"367-FG","首都","HINO","ERK2JRL", , ,"固特", , , ,"北區", ,"興南449-U9", , , ,,
"368-FG","首都","HINO","ERK2JRL", , ,"固特", , , ,"北區", ,"興南450-U9", , , ,,
"369-FG","首都","HINO","ERK2JRL", , ,"固特", , , ,"北區", ,"興南451-U9", , , ,,
"370-FG","首都","HINO","ERK2JRL", , ,"固特", , , ,"北區", ,"興南452-U9", , , ,,
"371-FG","首都","HINO","ERK2JRL", , ,"固特", , , ,"北區", ,"興南453-U9", , , ,,
